chamber_temp,chamber_pressure,gas_flow_1,gas_flow_2,rf_power,deposition_time,etch_temp,etch_pressure,etch_time,etch_power,clean_temp,clean_time,thickness,uniformity,particle_count,quality
457.4507122951685,2.9276577326367828,177.71837283533824,161.48103234020024,858.7407028792846,118.56576783541071,25.965505570068313,62.55566273845004,84.62901184432091,468.6495932251932,60.09714016219797,284.4196478052125,102.83297867244998,2.186990278661096,3,1
447.9260354824322,3.2418844967661493,187.3813833252442,166.10119053615668,706.0509527623086,119.6734409625969,22.655926913149163,49.900342191713776,84.28960427089041,546.5613758899323,64.72507176531565,321.09603164053107,99.19709048365287,2.0822990248234485,6,1
459.7153280715104,3.3759183399735067,181.1587963285151,157.48034868203317,783.6102472061268,120.64294878587582,27.074069143241577,48.437164709893366,101.40324745898346,531.3151021275509,67.06485796853707,288.69254950546303,102.02374071454149,2.0439529036893935,5,1
472.84544784612035,4.066306297202057,189.04008362517723,120.86253463557345,797.9169988309333,129.4686146164618,23.228914924584007,47.38820037072943,104.91530931087998,499.1490860147562,70.74834455462346,290.1795011903221,101.75954533314354,1.3379064905385578,7,1
446.48769937914994,3.6669659373601275,195.71699378577622,147.6686635120836,800.7954329199815,112.52782691513256,27.248665112335384,51.88183518599554,82.56894033271867,505.77349348998814,75.12081163303439,280.69534639053563,97.45489687182872,1.4867874233363738,8,1
446.4879456457623,3.0993555292700328,216.7430897266277,132.66438637624628,809.0248028039041,111.5365300848734,24.177665573857837,51.932912945854646,84.64804454048236,499.66407930662626,73.47067971685883,275.13177777591454,98.22310061726364,2.3741402180472075,3,1
473.68819223261085,3.645810886825291,193.57681922588594,146.96091340622888,830.5219909904747,132.36619742142975,19.836858623111013,54.75313936563256,99.14018255603315,519.4803703669415,64.10337600776258,310.6253206168863,103.0006358617561,2.2795757168391186,5,1
461.51152093729365,3.0358088033184902,168.28748586460816,164.70006354200842,798.2296280477325,115.37355258118701,22.05275127855719,45.36968917825494,94.26815994513917,468.01993366177226,68.14143868917174,314.5111888393388,109.06043904320701,2.191059962889325,8,1
442.9578842109757,3.824807316166122,222.8013569299032,154.5772625381246,781.5970858928159,107.36964646422933,23.708755873938145,48.437525609293694,95.41142484256737,534.5001893347458,70.38187794351283,306.81445312653847,106.0340929065466,1.7067436685777069,7,1
458.13840065378946,3.3586626044546364,183.2581973276992,167.2213629959615,779.6205327670152,115.1487005790013,29.104567071245732,60.15272861612101,97.17281035882445,514.1426335156325,68.6889643777675,281.5144918333968,94.354419719413,2.382594964382324,9,1
